primes,entropy
12539,6.701541944289162
12953,6.697905984701061
15923,6.69637031327718
15329,6.694010236478719
12893,6.691982357884891
12983,6.691963128637763
29153,6.69083967603437
12637,6.69010118215047
12437,6.68845964170766
17623,6.687280399253245
25913,6.68718819551486
13829,6.687083996604687
19583,6.687075034827856
12479,6.686716569843324
12473,6.68579117100786
15493,6.685747438732632
19423,6.685489182414599
32159,6.685461418904536
12743,6.685433409021013
35129,6.685358190402778
14537,6.6848253337653425
19853,6.684794367687968
21839,6.684023900456107
27953,6.684010422331981
32189,6.683962953079142
13859,6.683765513332091
12497,6.683128837215013
15473,6.683088083346917
12763,6.6829263561039465
19483,6.682778102381973
23159,6.68276760157262
15439,6.682752417287623
27539,6.682684500969838
12697,6.682681780512527
23189,6.6824288219871475
13627,6.681865528502368
13259,6.68152072027884
27983,6.681418826706113
17489,6.68137055755442
21893,6.681275403233188
25931,6.680980201528728
25793,6.680791199460592
12347,6.680571977000732
29573,6.680316884266195
18539,6.680308145973577
13457,6.680222704329869
32957,6.680219868148043
59123,6.680168939418286
32789,6.679917920322205
14753,6.67988428914731
17683,6.679877845895797
14957,6.679738917062258
21493,6.6795041022784805
23789,6.6794646772257416
14593,6.679456233108088
14923,6.6793887798932055
27893,6.6793812098539584
29537,6.679235552344557
13567,6.6788436681837995
12967,6.6788433084638665
17659,6.678811345673676
29531,6.678788570971576
14723,6.678767089053579
23957,6.6785863575926765
19457,6.678502905613803
15497,6.678480105786192
32987,6.678445636816844
16573,6.678384445867513
13687,6.67787523482935
29753,6.677788026219698
19427,6.677728077511603
18329,6.677633459870702
15679,6.677615882617212
23819,6.677552406406607
25391,6.677362687046666
52937,6.677335774694287
17569,6.677149881608148
19543,6.6770511107014405
32579,6.676743029104522
18593,6.676582682575197
21673,6.676517570717859
16729,6.676409127572724
35729,6.676301757795063
17483,6.676293827766939
15349,6.676261077028916
24137,6.676034773486314
14983,6.675853395935092
16927,6.675828500722752
37529,6.675741960562157
18439,6.675594778280772
13487,6.675286350783698
14389,6.675224910171225
31489,6.675176344890986
14293,6.674940805426608
14783,6.674626429900578
23879,6.674490875243666
29873,6.6744840271895525
42193,6.674322184759693
14327,6.674287447667923
59183,6.6742513906370915
23981,6.674044044054895
14639,6.673988107849562
19687,6.673987316050295
92153,6.673821807221827
17863,6.673813326868235
31627,6.673697008845165
31859,6.67364365249732
16987,6.67349468475613
53129,6.6731230360804465
14387,6.672986142916061
31657,6.672938496067071
15749,6.672918996734568
32491,6.672907656428675
39521,6.672639545628354
16879,6.6726093484131646
16493,6.672467819444407
31259,6.6724458703099
52973,6.672394741700156
