,first_prime,first_entropy,avg_second_entropy,total_entropy,second_prime
0,28571,6.49082671736944,5.136506151465713,11.627332868835152,40933.0
1,29873,6.6744840271895525,4.950826044842172,11.625310072031724,51047.0
2,58379,6.645492621621131,4.978989669893922,11.624482291515054,10243.0
3,27539,6.682684500969838,4.938994456896791,11.621678957866628,10847.0
4,67819,6.650967930140788,4.970692055370667,11.621659985511455,20357.0
5,29473,6.670104842619382,4.951258801549538,11.62136364416892,80567.0
6,25391,6.677362687046666,4.942736615840821,11.620099302887487,40879.0
7,28793,6.667997006156681,4.951981796119508,11.61997880227619,51047.0
8,27581,6.504779201214259,5.114516805402291,11.61929600661655,40933.0
9,95873,6.649091809452014,4.970197398170487,11.6192892076225,10427.0
10,23879,6.674490875243666,4.944603743466102,11.619094618709767,51047.0
11,25793,6.680791199460592,4.937535861519448,11.61832706098004,10847.0
12,28751,6.493919743900787,5.124329277009878,11.618249020910664,40933.0
13,65173,6.654077098886968,4.964132845526592,11.618209944413561,90821.0
14,82571,6.4852501821850295,5.132104913795166,11.617355095980194,15493.0
15,98573,6.643302937210712,4.973715580058951,11.617018517269663,10427.0
16,29573,6.680316884266195,4.935337936557886,11.61565482082408,10847.0
17,82471,6.478793870287466,5.1367207149326095,11.615514585220076,35099.0
18,16573,6.678384445867513,4.937081357769114,11.615465803636628,90821.0
19,86719,6.643350307914552,4.971992963518097,11.61534327143265,20357.0
20,86179,6.644399450656718,4.970869713951913,11.61526916460863,20357.0
21,52973,6.672394741700156,4.94279523528084,11.615189976980997,10847.0
22,58271,6.473798736796603,5.141211994935311,11.615010731731914,40933.0
23,57923,6.672378271324088,4.942270288818583,11.61464856014267,10847.0
24,29531,6.678788570971576,4.935301508614136,11.614090079585711,40879.0
25,58193,6.663295167676891,4.950758096048233,11.614053263725124,74209.0
26,27953,6.684010422331981,4.929997545234585,11.614007967566565,10847.0
27,28517,6.485093303892791,5.128899294217213,11.613992598110004,40933.0
28,48271,6.469933228427483,5.143846217980356,11.61377944640784,35099.0
29,27851,6.5012146607286105,5.112406446477169,11.61362110720578,40933.0
30,89273,6.652698199068965,4.960858163699926,11.61355636276889,51047.0
31,57389,6.661167819060971,4.952340365335562,11.613508184396533,10243.0
32,52379,6.670690922899643,4.942783840853287,11.61347476375293,10847.0
33,25471,6.499433768058615,5.113993817446025,11.61342758550464,80933.0
34,27481,6.498740249238353,5.114452889572957,11.61319313881131,35099.0
35,27893,6.6793812098539584,4.933516991297187,11.612898201151145,51047.0
36,58913,6.656844604711482,4.956039368397647,11.61288397310913,74209.0
37,52391,6.668304509822043,4.944471741722581,11.612776251544624,40879.0
38,65713,6.651238109774477,4.9610163516916,11.612254461466076,90821.0
39,53897,6.656638387524381,4.955489462753692,11.612127850278073,20143.0
40,27983,6.681418826706113,4.930699047597847,11.61211787430396,51047.0
41,42179,6.66697235577177,4.9449436259836865,11.611915981755455,80567.0
42,75983,6.6566766009912,4.955218087009066,11.611894688000266,10427.0
43,87251,6.475886692412593,5.135964083306783,11.611850775719375,40933.0
44,53189,6.671686570972071,4.939988629878026,11.611675200850097,42071.0
45,87491,6.652879325695835,4.958784419953066,11.611663745648901,25609.0
46,25913,6.68718819551486,4.924366245330222,11.611554440845083,40879.0
47,24793,6.669527188396535,4.94193098405712,11.611458172453656,80567.0
48,76819,6.649801886488088,4.961600664518107,11.611402551006195,20357.0
49,25931,6.680980201528728,4.9303533814305505,11.61133358295928,40879.0
50,12893,6.691982357884891,4.9193173501440866,11.611299708028977,74051.0
51,65371,6.648437056518024,4.9628192506901385,11.611256307208162,20983.0
52,54193,6.667740063764699,4.943446954179661,11.61118701794436,80279.0
53,67891,6.649101292837013,4.962075500680963,11.611176793517977,23057.0
54,32579,6.676743029104522,4.93435660091949,11.611099630024013,10847.0
55,87691,6.646519397526799,4.964397901645846,11.610917299172645,23057.0
56,12983,6.691963128637763,4.91895007939466,11.610913208032423,74051.0
57,81239,6.655957169581856,4.954777955483555,11.61073512506541,56701.0
58,56731,6.655790092082365,4.954897690908875,11.61068778299124,20983.0
59,89671,6.640969989403885,4.9695870102072,11.610556999611084,23057.0
60,29537,6.679235552344557,4.931218244939927,11.610453797284485,60149.0
61,26317,6.663731837069797,4.946683212651538,11.610415049721336,59083.0
62,85793,6.6536264827264135,4.956649723108423,11.610276205834836,10427.0
63,29671,6.662905700602967,4.9473459958350805,11.610251696438048,80537.0
64,83597,6.650748098881299,4.9594423498225595,11.610190448703857,20143.0
65,53819,6.662381967554308,4.947779645144536,11.610161612698843,42071.0
66,47521,6.494459571817639,5.115549680637158,11.610009252454798,80933.0
67,81527,6.480143403145215,5.129600963141198,11.609744366286414,40933.0
68,59671,6.651452619838697,4.958201872478848,11.609654492317546,80329.0
69,75329,6.663404921116042,4.94624852962699,11.609653450743032,10847.0
70,23789,6.6794646772257416,4.930016189177543,11.609480866403285,51047.0
71,83617,6.647052209860802,4.962324239768093,11.609376449628895,50923.0
72,75389,6.65579035255072,4.953577318487048,11.609367671037768,10243.0
73,82793,6.6654655240038405,4.943795988887731,11.609261512891571,51047.0
74,57163,6.663960065025596,4.945285337264596,11.609245402290192,90821.0
75,21587,6.499857242828655,5.109382437947927,11.609239680776582,40933.0
76,87359,6.6512308368646735,4.957943971965786,11.60917480883046,10243.0
77,25741,6.4966818073657935,5.112205457856265,11.608887265222059,80933.0
78,87613,6.648696068873409,4.960133496754644,11.608829565628053,52901.0
79,35879,6.661874787182181,4.9469415090897755,11.608816296271957,10243.0
